<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
210506,000000,237.9000000,243.3200000,237.7500000,243.0000000,50375470
210507,000000,243.4900000,243.9900000,240.7800000,241.7000000,37128000
210510,000000,242.3500000,244.3000000,240.5200000,241.4100000,32389560
210511,000000,240.2000000,243.1700000,239.0500000,242.5000000,35809800
210512,000000,242.1100000,244.4200000,241.5600000,241.7900000,33270270
210513,000000,242.2500000,247.2900000,242.0500000,247.1600000,64157170
210514,000000,248.0000000,250.4000000,247.5300000,249.5500000,50267520
210517,000000,250.0000000,255.2500000,249.4500000,255.1500000,41074310
210518,000000,256.1100000,268.3800000,254.5400000,266.2200000,86151870
210519,000000,263.9000000,264.5000000,256.0000000,260.9000000,93197170
210520,000000,260.8000000,262.7800000,256.9000000,259.1600000,46502970
210521,000000,260.0400000,260.7000000,257.1200000,258.0000000,29037660
210524,000000,258.6900000,261.4700000,257.1200000,261.2400000,24616020
210525,000000,262.3300000,262.7200000,258.3100000,259.7900000,30568090
210526,000000,260.5200000,263.3300000,260.0100000,263.0900000,34571110
210527,000000,261.9800000,263.7500000,261.2200000,262.9600000,57534350
210528,000000,263.7900000,265.9300000,261.3500000,262.0000000,35266300
210531,000000,261.0000000,261.6000000,259.3000000,261.0300000,21367010
210601,000000,261.9700000,264.7600000,261.5800000,263.8600000,32746740
210602,000000,264.0500000,271.3600000,263.5500000,271.1500000,53327960
210603,000000,272.3300000,274.3000000,268.2000000,272.1000000,52795050
210604,000000,271.9200000,276.2200000,269.5800000,274.3000000,54381240
210607,000000,274.0500000,276.7000000,273.8500000,275.6700000,34226150
210608,000000,275.5000000,277.5800000,272.9100000,275.3600000,53072570
210609,000000,275.9300000,276.3900000,273.7600000,275.6500000,28255880
210610,000000,275.4000000,277.7700000,274.3200000,276.1000000,37243570
210611,000000,276.5800000,278.0000000,274.8500000,277.0500000,26611040
210614,000000,277.6200000,280.4500000,277.2200000,279.5000000,28175830
210615,000000,279.9200000,280.1400000,272.6300000,272.7200000,52220420
210616,000000,272.9900000,275.2300000,270.1200000,271.8000000,67245290
210617,000000,270.9000000,273.8900000,269.1000000,272.5000000,43611060
210618,000000,271.6100000,273.1800000,268.6500000,270.0600000,52681210
210621,000000,269.7700000,272.8600000,268.0900000,272.6200000,27431480
210622,000000,273.5200000,277.0000000,272.8900000,277.0000000,36914430
210623,000000,277.8900000,279.5600000,276.6700000,277.3500000,33546790
210624,000000,278.2000000,279.4700000,275.5000000,277.4700000,42556030
210625,000000,277.8000000,277.9200000,276.1200000,277.1900000,29702030
210628,000000,277.2300000,279.6100000,276.4300000,276.9900000,28083560
210629,000000,276.1200000,277.5000000,273.1700000,276.8000000,37588780
210630,000000,277.2800000,281.8200000,276.5000000,281.8000000,60312970
210701,000000,281.8800000,286.2500000,281.8800000,285.7400000,50045350
210702,000000,285.7000000,286.1900000,282.8000000,285.6500000,29285170
210705,000000,286.0000000,291.4900000,285.7800000,291.1000000,34201020
210706,000000,292.0000000,295.9700000,291.3400000,293.4500000,80345400
210707,000000,293.8500000,297.4800000,293.4700000,297.3900000,67043710
210708,000000,296.4500000,297.0000000,290.3300000,292.8600000,52704630
210709,000000,293.5100000,295.5800000,292.0000000,295.2200000,40962550
210712,000000,295.5300000,298.4800000,294.9000000,297.3900000,43336120
210713,000000,297.7700000,297.7700000,293.0000000,293.8300000,49180620
210714,000000,282.8800000,286.9300000,282.8800000,284.6000000,52516030
210715,000000,284.5800000,285.1100000,278.9600000,280.0100000,41716630
210716,000000,279.3800000,282.0000000,278.0000000,279.6500000,27958640
210719,000000,277.2600000,279.5100000,273.1500000,275.5100000,42536580
210720,000000,276.7900000,278.6800000,273.1000000,277.3000000,31024530
210721,000000,277.5400000,285.0100000,276.0000000,282.9000000,41055170
210722,000000,283.5000000,285.0900000,281.2100000,283.2800000,40212130
210723,000000,283.0800000,285.0000000,279.0500000,279.5100000,38260370
210726,000000,277.3700000,281.3700000,276.7000000,281.0500000,27353690
210727,000000,280.1900000,280.8300000,276.8400000,278.0800000,28452110
210728,000000,278.0500000,282.9800000,277.7000000,282.2000000,32789740
210729,000000,283.9700000,287.7500000,283.5800000,287.0000000,41127080
210730,000000,285.3700000,287.5800000,283.2800000,287.3500000,46696620
210802,000000,287.8800000,289.4800000,285.2100000,286.7500000,38297270
210803,000000,286.7700000,288.0500000,284.3400000,287.0900000,27065240
210804,000000,287.8900000,288.8000000,286.0000000,287.9400000,23599750
210805,000000,287.3100000,288.2800000,285.1600000,285.9500000,47254880
210806,000000,285.2600000,285.7200000,277.8700000,282.2700000,90600850
210809,000000,282.2300000,287.9000000,280.8000000,286.6800000,68779100
210810,000000,288.0000000,288.8000000,285.7000000,288.6100000,28839550
210811,000000,288.9200000,291.4900000,287.1200000,290.3500000,37928360
